Codigo,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108
23,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,8,4,3,0,0,4,4,0,0,4,0,0,4,0,4,0,0,0,0,8,0,0,2,0,0,0,4,12,0,4,4,0,12,2,8,5,4,0,0,0,0,0,0,4,0,0,0,0,0,8,4,8,10,4,0,4,0,0,0,0,0,5,0,0,0,4,4,0,0,0,4,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,4,0,14,0,5,4,2,0,3,0,0,0,0,0,10,0,0,4,4,5,0,0,11,0,0,20,0,3,3,3,0,0,0,10,0,0,0,5,0,6,0,0,6,0,0,5,5,0,0,6,1,0,0,4,0,3,0,10,6,0,0,10,0,0,0,10,3,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,6,2,1,1,1,0,1,1,6,2,13,2,0,7,6,0,5,3,2,0,0,8,0,6,2,2,5,2,15,2,2,0,0,5,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,5,4,6,4,5,3,0,0,0,0,2,0,0,0,1,0,5,3,3,0,0,2,0,6,0,8,0,1,0,2,4,0,0,0,0,0,0,0,2,0,1,0,0,0,0,3,8,0,0,3,0,0,0,2,0,0,0,0,3,2,2,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,2,2,2,2,0,0,1,3,1,1,0,0,0,2,1,0,0,2,0,2,2,0,4,0,3,2,0,0,3,0,0,0,2,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,0,0,2,2,6,0,0,0,0,0,0,4,5,0,6,2,6,2,0,9,0,4,0,0,0,7,10,0,6,0,6,13,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,2,8,0,0,8,4,5
29,0,0,0,5,0,0,0,2,0,0,0,0,0,0,4,4,0,5,0,0,0,0,0,0,4,0,0,0,5,0,6,0,0,0,0,3,0,6,0,0,0,6,0,6,0,0,6,0,0,4,0,2,0,2,0,15,1,1,2,4,2,0,6,10,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,5,0,0,0,0,0,0,11,10,10,10,0,0,0,0,0,0,0,0
30,0,0,0,0,0,5,0,10,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,10,4,13,7,0,10,5,5,0,0,0,0,0,0,0,0,10,5,4,3,5,0,0,3,0,0,0,4,0,0,0,0,0,10,0,4,0,10,0,0,4,0,0,8,0,0,6,12,0,0,14,0,24,11,0,0,10,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,2,0,1,4,1,3,0,1,0,2,0,0,1,2,0,0,1,0,2,1,0,2,0,0,1,0,0,2,0,3,2,1,0,2,4,0,3,0,0,3,1,1,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,4,0,0,0,0,0,5,2,3,5,2,0,2,0,0,0,2,0,4,0,7,3,0,3,4,0,10,0,0,1,0,4,0,4,10,0,1,0,10,0,4,0,0,0,0,2,8,0,1,0,0,0,2,0,4,4,5,0,0,0,0,0,0,0,0,0,0,3,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,1,1,1,1,2,0,1,3,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,1,7,1,4,1,3,7,0,0,1,3,1,3,3,1,2,1,2,3,2,1,1,1,0,3,1,5,1
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,1,0,2,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,8,0,0,1,0,0,3,0,2,2,2,1,0,2,2,0,0,0,1,8,0,0,0,1,0,0,1,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,4,0,2,2,0,0,0,2,1,4
36,0,0,0,0,0,0,6,6,0,0,4,0,0,7,0,0,0,0,0,0,4,0,0,0,16,0,0,0,8,0,0,0,0,10,0,15,4,10,11,10,10,0,0,0,10,0,0,10,0,0,0,0,0,15,0,12,0,0,0,0,0,20,0,0,0,0,10,0,0,0,12,0,4,0,12,4,0,0,6,0,0,0,0,0,8,0,0,15,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,2,0,4,1,3,4,0,4,2,4,0,1,4,0,3,0,0,3,2,3,0,0,2,0,0,0,5,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,6,6,0,0,0,0,10,0,0,10,0,0,10,0,4,0,0,0,10,10,10,0,0,10,10,0,0,0,10,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,6,10,2,10,5,0,10,0,0,0,0,0,10,0,4,16,0,0,0,0,0,18,12,6
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,7,2,1,2,4,0,1,2,3,4,1,0,2,5,5,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,3,2,0,0,0,3,3,0,0,0,0,4,2,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0
